Year,Month,pr_mm_month
1999,2,65.02813878469169
1999,3,71.66574752773158
1999,4,70.36299153696746
1999,5,73.56418808922172
1999,6,74.45673819165677
1999,7,77.85317341913469
1999,8,76.90175831085071
1999,9,73.03239090833813
1999,10,73.75345481559634
1999,11,69.71666979370639
1999,12,72.65411174157634
2000,1,73.02866478567012
2000,2,68.06281149038114
2000,3,73.23393597034737
2000,4,71.62203721236438
2000,5,75.31641562236473
2000,6,74.68907040311024
2000,7,78.97346114041284
2000,8,76.91795277642086
2000,9,74.40021220827475
2000,10,74.2225827591028
2000,11,70.42704237392172
2000,12,72.11176279233769
2001,1,71.50498189148493
2001,2,65.21083870902658
2001,3,74.51234384207055
2001,4,71.58963696565479
2001,5,74.6389276580885
2001,6,75.23549924371764
2001,7,79.01321650715545
2001,8,78.72393287834711
2001,9,73.82420729845762
2001,10,74.50603462639265
2001,11,70.1675009331666
2001,12,71.88514745794237
2002,1,72.17487443704158
2002,2,66.28458690829575
2002,3,72.59882937069051
2002,4,71.0110436193645
2002,5,74.245334911393
2002,6,73.12007714062929
2002,7,78.78638680558652
2002,8,78.04947041440755
2002,9,72.25541677325964
2002,10,74.38756753108464
2002,11,70.52304083481431
2002,12,73.48455068422481
2003,1,73.10661161318421
2003,2,64.97113031800836
2003,3,72.91855801013298
2003,4,70.03170938696712
2003,5,74.14968817611225
2003,6,74.63344966527075
2003,7,77.0311240281444
2003,8,77.8759012115188
2003,9,72.99151812912896
2003,10,74.56218420993537
2003,11,70.54078741930425
2003,12,71.34295928408392
2004,1,71.7802829341963
2004,2,68.0727380735334
2004,3,72.76537804864347
2004,4,70.96445647766814
2004,5,74.99533257214352
2004,6,74.58106329431757
2004,7,76.94673156947829
2004,8,77.12257598759606
2004,9,71.95571449119598
2004,10,74.17204082594253
2004,11,70.52642136113718
2004,12,72.4201250995975
2005,1,72.84280357416719
2005,2,64.7837306605652
2005,3,72.64191230060533
2005,4,71.51548698311672
2005,5,74.88677995861508
2005,6,74.9423599918373
2005,7,77.92475743917748
2005,8,77.04564740415663
2005,9,73.89604230411351
2005,10,73.99739004322328
2005,11,69.81983006699011
2005,12,70.37409761105664
2006,1,72.10841086925939
2006,2,65.98203058820218
2006,3,73.19432676304132
2006,4,70.75915433233604
2006,5,73.92191331018694
2006,6,73.50072817644104
2006,7,77.41026160656475
2006,8,77.7871873055119
2006,9,73.61643458716571
2006,10,72.8228235791903
2006,11,70.71157707832754
2006,12,72.63527666218579
2007,1,71.83562376885675
2007,2,65.00573584344238
2007,3,71.91965082893148
2007,4,69.1050632740371
2007,5,73.12014597700909
2007,6,73.45788460224867
2007,7,77.80083859688602
2007,8,77.16347626992501
2007,9,73.70919396635145
2007,10,73.89345606788993
2007,11,69.7748318198137
2007,12,72.76534881675616
2008,1,71.78718653158285
2008,2,67.44452391285449
2008,3,73.05899286875501
2008,4,70.78641542466357
2008,5,75.58707853895612
2008,6,75.36698144394904
2008,7,78.54758664616384
2008,8,78.5174339544028
2008,9,74.35543555766344
2008,10,74.2743183276616
2008,11,71.29586121300235
2008,12,73.10232426971197
2009,1,71.76188146113418
2009,2,66.26432260964066
2009,3,73.17934054881334
2009,4,71.79750397335738
2009,5,75.51610838854685
2009,6,74.7109943185933
2009,7,78.52421088027768
2009,8,78.60527090379037
