Year,Month,tos
2012,10,13.115081
2012,11,12.960084
2012,12,13.051296
2013,1,13.439955
2013,2,13.710608
2013,3,13.63172
2013,4,13.411409
2013,5,13.243351
2013,6,13.292972
2013,7,13.502776
2013,8,13.632295
2013,9,13.431651
2013,10,13.143856
2013,11,12.998659
2013,12,13.153124
2014,1,13.562058
2014,2,13.765165
2014,3,13.717184
2014,4,13.503679
2014,5,13.326355
2014,6,13.391773
2014,7,13.562926
2014,8,13.681516
2014,9,13.523304
2014,10,13.196338
2014,11,13.045393
2014,12,13.265791
